Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
14-05-2020,TCS,1949.65,1910,1923.1,1891.1,1902,1902.35,1905.48,2263204,4.31248E+14,111897,931246,0.4115
15-05-2020,TCS,1902.35,1916,1917.4,1865.2,1903,1892.9,1884.25,3173682,5.98E+14,157447,1312065,0.4134
18-05-2020,TCS,1892.9,1907,1952.95,1872.1,1940.05,1945.6,1921.1,3727896,7.16167E+14,158352,1140903,0.306
19-05-2020,TCS,1945.6,1903,1966.45,1903,1948.1,1948.65,1945.9,3198699,,148060,1142215,0.3571
,TCS,1948.65,1950,1962.9,1931.7,1953.55,1953.6,1946.92,2778505,5.40951E+14,130438,1398276,0.5032
21-05-2020,TCS,1953.6,1946,1998,1941.15,1990.1,1991.2,1977.64,3400925,6.7258E+14,125723,1818084,0.5346
22-05-2020,TCS,1991.2,1977.1,2032,1961.25,2015.15,2020.35,,3663422,7.34559E+14,129277,1423498,0.3886
26-05-2020,TCS,2020.35,2015,,1925,1948.95,1943,1969.21,4575512,9.01014E+14,170636,2223882,
27-05-2020,TCS,1943,1959,2010,1941.25,2008,2005.3,1975.64,3482185,6.87954E+14,131846,,0.3373
28-05-2020,TCS,2005.3,1988.5,2014,1971.3,2006.25,2004.3,1988.53,3475788,6.91172E+14,149827,1346787,0.3875
29-05-2020,TCS,2004.3,1982,2002.65,1962.4,1980.9,1972.35,1977.79,,1.43148E+15,180576,4581484,0.633
01-06-2020,TCS,,1990,2060,1981.1,2038,2045.25,2033.41,3747850,7.62091E+14,146513,1266772,0.338
,TCS,2045.25,2060.2,2081,2040.05,2049.95,2047.15,2057.96,2443886,5.02941E+14,116685,897807,0.3674
03-06-2020,TCS,2047.15,,2063.75,2020,2048,2046.15,2038.22,3699799,7.54099E+14,154423,1958989,0.5295
04-06-2020,TCS,2046.15,2046.75,2100,2046.75,2094.95,2091.55,,4048593,8.40414E+14,147400,1525655,0.3768
05-06-2020,TCS,2091.55,2091.6,2098,2040.3,2053,2048.25,2054.59,3573299,7.34166E+14,143792,1171097,0.3277
08-06-2020,TCS,2048.25,2078.25,2095,2062.1,2070,2071.75,2078.75,2957841,6.14861E+14,108037,918772,0.3106
09-06-2020,TCS,2071.75,2063.1,2095.5,2060.25,2075,2072.05,2079.22,2910152,6.05085E+14,150567,1285171,0.4416
10-06-2020,TCS,2072.05,2077.05,2132,2073.5,2109,2108.75,,5168494,1.08979E+15,187675,1657664,0.3207
,TCS,2108.75,2100,2105,,2069,2067.65,2077.3,2269569,4.71459E+14,,687131,0.3028
,TCS,2067.65,2011.2,,2011,,2039.5,2026.47,2842757,5.76078E+14,130558,1139648,0.4009
15-06-2020,TCS,2039.5,2039.1,2059,2000.95,2036.2,2029.9,2027.78,2399028,,97163,621670,
16-06-2020,TCS,2029.9,,2073.95,,2041.8,2045.8,2051.87,2146528,4.40439E+14,89213,753988,
,TCS,,2046,2058.85,2026.55,2048,,2042.73,2703546,,,1286034,0.4757
18-06-2020,TCS,2047.8,2045,2059.2,2025.2,2036.2,2038.1,2039.63,1944471,3.96601E+14,77874,,0.3216
19-06-2020,TCS,,2042,2090,2032,2043.65,2044.6,2050.29,5681784,1.16493E+15,152183,3384227,0.5956
22-06-2020,TCS,2044.6,2050,2052.25,2019.15,2032,2027.95,2033.74,3196138,6.50012E+14,109018,,0.4325
23-06-2020,TCS,2027.95,2027,2044,2010,2039,2035.3,2027.43,4206122,8.52762E+14,136481,,0.5069
24-06-2020,TCS,2035.3,,2064.25,2031.6,2042,,2052.03,2560951,5.25514E+14,,907215,0.3542
25-06-2020,TCS,2042.2,,2060,2009.25,2015.4,2016.1,,3044089,6.18943E+14,127554,1367041,0.4491
,TCS,2016.1,2025,2132,2019.95,2115.2,2118.85,2095.55,6300912,1.32039E+15,237429,1985173,0.3151
29-06-2020,TCS,2118.85,2108,2127.6,2091.3,2103.45,2101.65,2104.79,3076344,,109993,1159263,0.3768
,TCS,2101.65,2100,,2075.05,2085.05,2082.15,2091.7,,6.42546E+14,121691,1277270,0.4158
01-07-2020,TCS,2082.15,2079.7,,2079.5,2095,2092.05,2100.06,2503466,5.25744E+14,103067,829392,0.3313
,TCS,2092.05,2102,2165,2098,2159,2157.15,,3758709,8.05787E+14,140145,,0.3762
03-07-2020,TCS,2157.15,2163.65,2205,2160.25,2195,2199.65,2188.8,4185215,9.16058E+14,130448,1461405,0.3492
06-07-2020,TCS,2199.65,2205,2269.9,,2261,2263.2,2247.63,5190366,1.1666E+15,161168,2379673,0.4585
07-07-2020,TCS,2263.2,2275,2302.7,2232.15,,,,,1.27461E+15,206374,1863660,0.331
08-07-2020,TCS,2269.9,2270,2274.4,2207.6,2219,2218.9,2240.93,2793674,6.26043E+14,130484,1098745,0.3933
09-07-2020,TCS,2218.9,2229,2244.5,2191.05,2212.5,2204.35,2209.06,3443998,7.60801E+14,133367,846325,0.2457
10-07-2020,TCS,2204.35,2205.25,,2176,2221.1,2222.35,2210.93,,2.12477E+15,292369,1433298,0.1491
13-07-2020,TCS,2222.35,2220,2244.95,2210,2222.25,,2225.83,2963525,6.5963E+14,100495,938363,0.3166
14-07-2020,TCS,2220,2210,2239,2165,2175,2171.95,2199.6,2976749,6.54767E+14,117480,1212619,
15-07-2020,TCS,2171.95,2185,2260,2181.1,2231.1,2233.9,2228.76,5569322,1.24127E+15,201144,1964036,0.3527
16-07-2020,TCS,2233.9,2244,2333,2220.1,2233,2234.75,2275.23,8582120,1.95263E+15,279321,,0.3646
17-07-2020,TCS,2234.75,2237,2243.9,2190.05,2207.9,2200.75,2204.05,4509143,9.93836E+14,183317,1875874,0.416
20-07-2020,TCS,2200.75,2201,2226.9,2190.8,2214,2207.9,2205.5,2952719,6.51222E+14,99805,901482,0.3053
21-07-2020,TCS,2207.9,2230,2238.65,,2224.55,2225.05,2220.42,2665386,5.91828E+14,128640,1177304,0.4417
22-07-2020,TCS,,2231,2231,2184.2,2190,2190.95,2199.54,2861698,6.29442E+14,108851,,0.5389
,TCS,2190.95,2190.95,2190.95,2163,2174.2,2171.2,2175.33,2265791,4.92884E+14,100469,1015290,0.4481
24-07-2020,TCS,2171.2,,2163,2125.1,2158.8,2157.4,2143.7,3665123,,154927,1392828,0.38
,TCS,2157.4,2165,,2163.5,2205,2206.8,2196.82,,9.33392E+14,185606,1148531,0.2703
28-07-2020,TCS,2206.8,2215,2320,2215,2310.2,2309.75,,8092458,1.83963E+15,261902,3170172,0.3917
29-07-2020,TCS,2309.75,2292,2342,2246.05,2279,,2291.87,6090440,1.39585E+15,231420,1364265,0.224
,TCS,2276.05,,2358,2272.25,2281,2279.5,2315.35,7098913,1.64365E+15,,1819696,0.2563
31-07-2020,TCS,2279.5,2303.15,2334.8,,2290.45,2281.4,2295.95,4723290,1.08445E+15,183229,877006,0.1857
03-08-2020,TCS,2281.4,,2303.85,,2249,2254.15,2255.66,4012445,9.0507E+14,124563,1886262,0.4701
04-08-2020,TCS,2254.15,2259.95,2269.65,2225.05,2249.95,2249.7,2248,2927953,6.58204E+14,113209,1048510,0.3581
05-08-2020,TCS,2249.7,2260,,2253,2259,2259.5,2270.76,,8.63035E+14,140871,1096392,0.2885
06-08-2020,TCS,2259.5,2275,2319.5,2265.35,2309.85,,2300.33,4748348,1.09228E+15,179033,1406212,0.2961
07-08-2020,TCS,2308.1,2308,2328,2287,2295,2295.35,,3165495,,98547,1385964,0.4378
10-08-2020,TCS,2295.35,2318,2325,2276.05,2283,2282.8,2301.82,2929385,6.74291E+14,83569,1206424,0.4118
11-08-2020,TCS,2282.8,2283,2312,2275.6,,2279.9,2290.19,2774509,6.35416E+14,91227,,0.4289
12-08-2020,TCS,2279.9,2288.35,2296.4,2246.55,2262,2257.35,2265.65,3415766,7.73893E+14,,1350702,0.3954
13-08-2020,TCS,2257.35,,2300,2250.5,2260,2254.45,2270.22,2695682,,105012,973637,
14-08-2020,TCS,2254.45,2277,2281.3,2233.1,2243.85,2242.15,2256.4,2270405,5.12295E+14,95783,1016058,0.4475
17-08-2020,TCS,2242.15,2263,2270,2238.25,2260.5,2253.4,2253.53,2625670,5.91702E+14,78270,1077702,0.4104
18-08-2020,TCS,2253.4,2262.8,2289,2248.3,2269.8,2269.75,2269.85,3493411,7.92951E+14,123985,1312308,0.3757
19-08-2020,TCS,2269.75,2276.35,,2252.5,2260,2256.6,2264.81,2843007,6.43887E+14,87911,1316273,0.463
20-08-2020,TCS,2256.6,2257,2276.55,2240.05,2249,2252.85,2255.13,2895265,6.52921E+14,97538,1181770,0.4082
21-08-2020,TCS,2252.85,2260,2271,2241.05,2249.75,2248.6,2252.12,1975304,4.44862E+14,76072,700157,0.3545
24-08-2020,TCS,2248.6,2250.6,2259.95,2230,2250.25,2248.1,2245.05,2167987,4.86724E+14,70491,745803,0.344
